recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
Easy Peach Cobbler with Cake Mix,Labor Day,Labor Day Desserts,"This fresh peach cobbler with cake mix is so simple, yet it wins rave reviews. It's a quick but company-worthy cobbler.","[""12 fresh peaches, pitted and sliced"", ""1 cup water"", ""1 cup white sugar"", ""\u00bd teaspoon ground cinnamon"", ""1 (15.25 ounce) package white cake mix"", ""1 (8 ounce) package cream cheese, cut into pats"", ""\u00bd cup unsalted butter, cut into pieces""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Spread peach slices evenly in the bottom of a 9x13-inch baking dish. Stir water and sugar together in a small bowl until dissolved; pour mixture over peaches. Sprinkle cinnamon over peaches, then cake mix. Top cake mix with pats of cream cheese, then butter."", ""Bake in the preheated oven until golden, about 45 minutes.""]",7,3
Bacon Wrapped Stuffed Mushrooms,Appetizers And Snacks,Stuffed Mushrooms,"A classic favorite stuffed mushroom is taken to new heights by wrapping in a slice of bacon. Simple, but will melt in your mouth!","[""\u00bd cup chopped green onions"", ""2 (8 ounce) packages cream cheese, softened"", ""20 fresh mushrooms, stems removed"", ""1 pound sliced bacon, cut in half""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""In a medium bowl, mix together the green onions and cream cheese . Stuff mushroom caps with the cheese mixture. Wrap each mushroom with a half-slice of bacon, and secure with toothpicks. Place on a baking sheet."", ""Bake for 20 minutes in the preheated oven, until the bacon is cooked through.""]",4,3
Sloppy Joe Sandwich Filling,Ground Beef,Sloppy Joes,"The traditional sloppy Joe goes south of the border in this tangy, flavorful sandwich filling.","[""2 tablespoons butter"", ""\u00bc cup minced onion"", ""\u00bc cup chopped poblano chile pepper"", ""8 ounces extra-lean ground beef"", ""4 ounces chorizo sausage"", ""1 \u00bd tablespoons red enchilada dry seasoning (such as Savory Spice Shop\u00ae Canyon Road)"", ""1 tablespoon tomato powder (such as Savory Spice Shop\u00ae)"", ""\u00bd cup water"", ""\u2153 cup ketchup"", ""2 teaspoons Worcestershire sauce"", ""1 avocado, sliced (Optional)"", ""\u00bd cup shredded Oaxaca cheese, or to taste (Optional)"", ""4 hamburger bun, split and toasted""]","[""Melt butter in a skillet over medium heat. Cook onion and poblano pepper until softened, about 5 minutes. Transfer mixture to a plate. Add ground beef and chorizo to the skillet. Cook, stirring often to break up meat, until browned and crumbly, 5 to 7 minutes. Add enchilada seasoning and tomato powder. Add water, ketchup, and Worcestershire sauce. Return cooked onion mixture to the skillet. Simmer until flavors combine, about 5 minutes more."", ""Serve meat mixture on toasted buns topped with Oaxaca cheese and avocado.""]",13,2
Country Fried Potatoes with Hatch Chiles,Cooking For Two,Cooking Breakfast For Two,"Spice up your life and kick up your breakfast potatoes a notch by adding Hatch chiles. I used fresh-frozen charred Hatch chiles, but you can use canned if fresh are not in season.","[""2 Hatch chile peppers"", ""2 tablespoons vegetable oil"", ""1 large russet potato"", ""\u00bd medium onion, sliced"", ""1 pinch seasoned salt (such as LAWRY'S\u00ae), or to taste"", ""freshly cracked black pepper to taste""]","[""Place Hatch chiles directly on the grates of a gas stove over medium heat. Cook, flipping with tongs occasionally, until blackened and charred, about 5 minutes. Place in a sealed plastic bag and allow to cool, 7 to 8 minutes. Peel off charred skins, remove seeds, and slice chiles."", ""Slice potato using a mandoline."", ""Heat oil in a large skillet over medium-high heat until shimmering. Add potato slices and fry undisturbed until starting to brown and soften, 8 to 12 minutes. Add onion slices and chiles. Season with seasoned salt and black pepper. Stir to combine. Cook until onions are translucent and potatoes are fully softened and browned on the second side, 5 to 8 minutes.""]",6,3
Marinated Mushrooms,Labor Day,Labor Day Appetizers,"Little mushrooms are marinated in a zesty mixture and are great for buffet-style gatherings. This recipe was handed down to me by my grandma. They keep well for a long time in the fridge, or you may can them in mason jars and store them in the cupboard.","[""1 small onion, thinly sliced"", ""\u2153 cup red wine vinegar"", ""\u2153 cup olive oil"", ""2 tablespoons dried parsley"", ""1 tablespoon brown sugar"", ""2 cloves garlic, peeled and crushed"", ""1 teaspoon salt"", ""1 teaspoon ground dry mustard"", ""1 pound small fresh button mushrooms""]","[""Combine onion, vinegar, olive oil, parsley, brown sugar, garlic, salt, and dry mustard in a medium saucepan. Bring to a boil. Reduce heat, stir in mushrooms, and simmer for 10 to 12 minutes, stirring occasionally."", ""Transfer mushroom mixture to sterile containers and chill in the refrigerator until serving.""]",9,2
Delicious Grilled Hamburgers,July 4Th,4Th Of July Main Dishes,These grilled burgers are tender and juicy with a smoky flavor. Serve on buns with your favorite toppings.,"[""1 pound lean ground beef"", ""1 tablespoon Worcestershire sauce"", ""1 tablespoon liquid smoke flavoring or less to taste (Optional)"", ""1 teaspoon garlic powder"", ""1 tablespoon olive oil"", ""seasoned salt to taste""]","[""Gather the ingredients."", ""Preheat an outdoor grill for high heat and lightly oil the grate."", ""Combine ground beef, Worcestershire sauce, liquid smoke, and garlic powder in a medium bowl; lightly mix until just combined."", ""With minimal handling, form mixture into three patties."", ""Brush oil onto both sides of each patty, then season with salt."", ""Cook patties on the preheated grill until no longer pink in the center, about 5 minutes per side. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).""]",6,6
Parmesan Crusted Chicken,Dinner,Baked And Roasted Chicken,"This Parmesan-crusted chicken with mayo is the simplest and most savory way to dress up chicken breasts for a quick supper. Just top them with mayonnaise, sprinkle with Parmesan cheese and bread crumbs, and bake. Dinner will be ready in 30 minutes or less!","[""\u00bd cup Hellmann's\u00ae or Best Foods\u00ae Real Mayonnaise"", ""\u00bc cup grated Parmesan cheese"", ""4 (5 ounce) boneless, skinless chicken breast halves"", ""4 teaspoons Italian seasoned dry bread crumbs""]","[""Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C)."", ""Mix mayonnaise and Parmesan cheese together in a medium bowl until well combined."", ""Arrange chicken breasts on a baking sheet. Evenly top with mayonnaise mixture, then sprinkle with bread crumbs to coat."", ""Bake in the preheated oven until golden on top and chicken is cooked through, about 20 minutes.""]",4,4
Hot Toddy Cocktail,Cocktails,Whiskey Drinks,"The hot toddy cocktail is a classic winter warmer. Truth be told, it's good any time of year and works particularly well if you're battling a cold.","[""1 tablespoon honey"", ""2 fluid ounces bourbon whiskey"", ""\u00be cup hot water"", ""1 twist lemon peel""]","[""Fill an Irish coffee glass with hot water; let sit for a few minutes until glass is hot, then discard water."", ""Pour honey and bourbon into the preheated glass and top with 3/4 cup hot water. Garnish with a lemon twist.""]",4,2
Chocolate-Apple Egg Rolls,Desserts,Chocolate Desserts,"Fry up dessert eggrolls with sweet Golden Delicious apple and Nutella filing. To avoid soggy egg rolls, be sure to let the filling cool completely before assembling.","[""3 golden delicious apples"", ""1/2 teaspoon orange zest"", ""3 tablespoons orange juice"", ""1 tablespoon white sugar"", ""1 1/2 teaspoons vanilla extract"", ""1 pinch nutmeg"", ""1 pinch salt"", ""1 quart vegetable oil, or as needed, for frying"", ""8 egg roll wrappers"", ""1/2 cup chocolate-hazelnut spread,"", ""1 cup whipping cream"", ""1/4 cup powdered sugar"", ""1 tbsp unsweetened cocoa powder"", ""1/4 cup hazelnuts"", ""1 piece chocolate""]","[""Combine apples, orange juice, white sugar, 1 teaspoon vanilla, nutmeg, and salt in a small saucepan. Bring to a boil. Reduce heat to medium-low and cook, covered, stirring occasionally, until apples are tender and mixture thickens, 3 to 5 minutes. Stir in orange zest. Spread filling on a plate and let cool completely."", ""Preheat oven to 200 dergrees F (93 degrees C). Pour oil to a depth of 3/4 inch in a deep 10-inch skillet; heat to between 350 and 375 degrees F (180 to 190 degrees C). You'll need about 1 quart oil."", ""Meanwhile, arrange 1 egg roll wrapper on a work surface with 1 corner pointed toward you like a diamond. Spread 1 tablespoon chocolate-hazelnut spread and 3 tablespoons apple filling in the center bottom half of wrapper. Fold bottom corner over filling, tucking it under on other side. Fold side corners over filling, forming an envelope shape. Roll egg roll toward remaining corner. Moisten top corner with water; press firmly to seal. Place on a parchment paper-lined baking sheet. Repeat with remaining wrappers, chocolate-hazelnut spread, and apple filling."", ""Working in batches, fry egg rolls, turning occasionally, until golden brown, 3 to 5 minutes. Drain on a paper towel-line plate. Transfer to prepared baking sheet; keep warm in oven while frying remaining egg rolls."", ""Beat cream, powdered sugar, cocoa powder, and remaining 1/2 teaspoon vanilla in a medium bowl with an electric mixer at medium speed until stiff peaks form."", ""Top warm egg rolls with whipped cream and hazelnuts. Garnish with chocolate shavings and additional orange zest.""]",15,6
Famous Meatballs,Appetizers And Snacks,Meatball Appetizers,"These pineapple meatballs are a favorite for any occasion. I made 14 pounds of meatballs for my sister's graduation party, and I only had 1 medium container left. My mother made sloppy joes, and needless to say, they had a lot of leftovers because everyone loved these meatballs. Guaranteed favorite!","[""1 (13.25 ounce) can pineapple chunks in juice"", ""1 green bell pepper, sliced"", ""\u00bd cup brown sugar"", ""2 tablespoons cornstarch"", ""2 tablespoons soy sauce"", ""2 tablespoons lemon juice"", ""1 (3 pound) bag frozen cooked meatballs, thawed""]","[""Pour pineapple chunks with juice into a saucepan. Mix in green bell pepper, brown sugar, cornstarch, soy sauce, and lemon juice; stir until sugar and cornstarch dissolve."", ""Bring mixture to a boil; cook and stir until thickened, about 10 minutes."", ""Place meatballs in a slow cooker; pour pineapple mixture over meatballs."", ""Cook on Medium for 2 hours, stirring every 30 minutes.""]",7,4
